,title,bag_of_words
19005,The Elephant Man,biography drama usa uk davidlynch victorian surgeon rescues side kindness show freak intelligence sophistication revealed mistreated person behind heavily disfigured man living scraping monstrous faã § ade 
46917,Non Ã¨ un paese per vecchi,crime drama thriller usa mexico ethancoen joelcoen cash near mayhem ensue hunter stumbles upon rio grande two million dollars drug deal gone wrong violence 
6107,Il terzo uomo,film-noir mystery thriller uk carolreed old friend find investigating shadowy harry lime mysterious death postwar vienna pulp novelist holly martins travels 
64118,PK,comedy drama musical india rajkumarhirani earth loses alien innocent nature child people like questions force device impact use religion evaluate communicate country spaceship 
67709,Room,drama thriller canada ireland uk usa lennyabrahamson enclosed space freedom first time boy outside world woman young son finally gain 7 years held captive experience allowing 
29793,Il grande Lebowski,comedy crime sport usa uk joelcoen ethancoen enlists help get dude mistaken millionaire jeff seeks restitution lebowski name ruined rug bowling buddies 
29784,In the Mood for Love,drama romance hongkong china kar-waiwong spouses suspect extramarital activities man strong bond two neighbors agree commit similar wrongs woman keep form however platonic 
18028,Il cacciatore,drama war usa michaelcimino lives small industrial town u disrupts depth examination people vietnam war impacts pennsylvania ways 
29621,Trainspotting,drama uk dannyboyle influence deeply immersed edinburgh drug scene drugs get friends clean tries renton despite allure 
22349,Platoon,drama war usa uk oliverstone man confronted vietnam faces moral crisis horrors young soldier war duality 
55662,Mad Max: Fury Road,action adventure sci-fi australia southafrica georgemiller apocalyptic wasteland psychotic worshiper homeland search woman rebels aid post female prisoners group tyrannical ruler drifter named max 
19891,Blade Runner,action sci-fi thriller usa ridleyscott find earth creator stole ship returned terminate four replicants blade runner must pursue space 
47849,Into the Wild - Nelle terre selvagge,adventure biography drama usa seanpenn gives series characters 000 savings account graduating 24 possessions christopher encounters shape alaska wilderness along way top student live charity emory university hitchhikes athlete mccandless abandons life entire 
67050,Storie Pazzesche,comedy drama thriller argentina spain france uk damiã¡nszifron human behavior involving people extremities explore six short stories distress 
22436,Stand by Me - Ricordo di un'estate,adventure drama usa robreiner one find childhood journey death friends body writer recounts missing boy 
30475,The Truman Show,comedy drama sci-fi usa peterweir actually whole life insurance salesman discovers reality tv show 
73314,Contrattempo,crime drama mystery spain oriolpaulo witness preparation expert three hours less murder successful entrepreneur accused impregnable defence come 
